Primary,number_of_schools,total_athletes
American Athletic Conference,3,250
Atlantic 10 Conference,3,369
Atlantic Coast Conference,10,1690
Atlantic Sun Conference,1,45
Big 12 Conference,5,655
Big East Conference,6,1111
Big South Conference,1,47
Big Ten Conference,10,2332
Big West Conference,1,213
Conference USA,1,244
Mid-American Conference,1,107
Missouri Valley Conference,1,81
Mountain West Conference,3,545
Pac-12 Conference,4,530
Patriot League,1,50
Southeastern Conference,7,1228
Southern Conference,1,26
Summit League,1,169
Sun Belt Conference,2,288
West Coast Conference,1,94
Western Athletic Conference,2,258
