School,Athlete_Name,Product,Type,Price
Ohio State,Colby Adams,Sport Grey Track & Field The Crew,Crew,54.99
Ohio State,Colby Adams,Sport Grey Track & Field The Tee,Tee,39.99
Ohio State,Colby Adams,Track & Field White Brutus Hoodie,Hoodie,64.99
Ohio State,Colby Adams,Track & Field White Brutus Comfort Colors Tee,Tee,44.99
Ohio State,Colby Adams,Sport Grey Track & Field The Hoodie,Hoodie,64.99
Ohio State,Colby Adams,Red Track & Field Team Tee,Tee,39.99
Ohio State,Colby Adams,Red Track & Field Team Hoodie,Hoodie,64.99
Ohio State,Colby Adams,Red Track & Field Team Crew,Crew,54.99
Ohio State,Colby Adams,Red Track & Field Script Tee,Tee,39.99
Ohio State,Colby Adams,Red Track & Field Script Hoodie,Hoodie,64.99
Ohio State,Colby Adams,Red Track & Field Script Crew,Crew,54.99
Ohio State,David Adolph,Football Black Gridiron Crew,Crew,54.99
Ohio State,David Adolph,Red Football Team Hoodie,Hoodie,64.99
Ohio State,David Adolph,Ohio State Football Black Jersey,Jersey,109.99
Ohio State,David Adolph,Football Black Gridiron Tee,Tee,39.99
Ohio State,David Adolph,Football Black Gridiron Hoodie,Hoodie,64.99
Ohio State,David Adolph,Football White Brutus Hoodie,Hoodie,64.99
Ohio State,David Adolph,Football White Brutus Comfort Colors Tee,Tee,44.99
Ohio State,David Adolph,Sport Grey Football The Tee,Tee,39.99
Ohio State,David Adolph,Sport Grey Football The Hoodie,Hoodie,64.99
Ohio State,David Adolph,Sport Grey Football The Crew,Crew,54.99
Ohio State,David Adolph,Red Football Team Tee,Tee,39.99
Ohio State,David Adolph,Red Football Team Crew,Crew,54.99
Ohio State,David Adolph,Red Football Script Tee,Tee,39.99
Ohio State,David Adolph,Red Football Script Hoodie,Hoodie,64.99
Ohio State,David Adolph,Red Football Script Crew,Crew,54.99
Ohio State,NA,Swimming & Diving White Brutus Hoodie,Hoodie,64.99
Ohio State,NA,Swimming & Diving White Brutus Comfort Colors Tee,Tee,44.99
Ohio State,NA,Sport Grey Swimming & Diving The Tee,Tee,39.99
Ohio State,NA,Sport Grey Swimming & Diving The Hoodie,Hoodie,64.99
Ohio State,NA,Sport Grey Swimming & Diving The Crew,Crew,54.99
Ohio State,NA,Red Swimming & Diving Team Tee,Tee,39.99
Ohio State,NA,Red Swimming & Diving Team Hoodie,Hoodie,64.99
Ohio State,NA,Red Swimming & Diving Team Crew,Crew,54.99
Ohio State,NA,Red Swimming & Diving Script Tee,Tee,39.99
Ohio State,NA,Red Swimming & Diving Script Hoodie,Hoodie,64.99
Ohio State,NA,Red Swimming & Diving Script Crew,Crew,54.99
Ohio State,NA,Red Women's Lacrosse Team Tee,Tee,39.99
Ohio State,Regan Alexander  ,Ohio State Women's Lacrosse Red Jersey,Jersey,89.99
Ohio State,NA,Women's Lacrosse White Brutus Hoodie,Hoodie,64.99
Ohio State,NA,Women's Lacrosse White Brutus Comfort Colors Tee,Tee,44.99
Ohio State,NA,Sport Grey Women's Lacrosse The Tee,Tee,39.99
Ohio State,NA,Sport Grey Women's Lacrosse The Hoodie,Hoodie,64.99
Ohio State,NA,Sport Grey Women's Lacrosse The Crew,Crew,54.99
Ohio State,NA,Red Women's Lacrosse Team Hoodie,Hoodie,64.99
Ohio State,NA,Red Women's Lacrosse Team Crew,Crew,54.99
Ohio State,NA,Red Women's Lacrosse Script Tee,Tee,39.99
Ohio State,NA,Red Women's Lacrosse Script Hoodie,Hoodie,64.99
Ohio State,NA,Red Women's Lacrosse Script Crew,Crew,54.99
Ohio State,NA,Sport Grey Women's Lacrosse The Crew,Crew,54.99
Ohio State,NA,Red Women's Lacrosse Script Hoodie,Hoodie,64.99
Ohio State,Riley Alexander  ,Ohio State Women's Lacrosse Red Jersey,Jersey,89.99
Ohio State,NA,Women's Lacrosse White Brutus Hoodie,Hoodie,64.99
Ohio State,NA,Women's Lacrosse White Brutus Comfort Colors Tee,Tee,44.99
Ohio State,NA,Sport Grey Women's Lacrosse The Tee,Tee,39.99
Ohio State,NA,Sport Grey Women's Lacrosse The Hoodie,Hoodie,64.99
Ohio State,NA,Red Women's Lacrosse Team Tee,Tee,39.99
Ohio State,NA,Red Women's Lacrosse Team Hoodie,Hoodie,64.99
Ohio State,NA,Red Women's Lacrosse Team Crew,Crew,54.99
Ohio State,NA,Red Women's Lacrosse Script Tee,Tee,39.99
Ohio State,NA,Red Women's Lacrosse Script Crew,Crew,54.99
Ohio State,NA,Sport Grey Men's Lacrosse The Hoodie,Hoodie,64.99
Ohio State,Ari Allen  ,Ohio State Men's Lacrosse Red Jersey,Jersey,89.99
Ohio State,NA,Men's Lacrosse White Brutus Hoodie,Hoodie,64.99
Ohio State,NA,Men's Lacrosse White Brutus Comfort Colors Tee,Tee,44.99
Ohio State,NA,Sport Grey Men's Lacrosse The Tee,Tee,39.99
Ohio State,NA,Sport Grey Men's Lacrosse The Crew,Crew,54.99
Ohio State,NA,Red Men's Lacrosse Team Tee,Tee,39.99
Ohio State,NA,Red Men's Lacrosse Team Hoodie,Hoodie,64.99
Ohio State,NA,Red Men's Lacrosse Team Crew,Crew,54.99
Ohio State,NA,Red Men's Lacrosse Script Tee,Tee,39.99
Ohio State,NA,Red Men's Lacrosse Script Hoodie,Hoodie,64.99
Ohio State,NA,Red Men's Lacrosse Script Crew,Crew,54.99
Ohio State,Jack Allen,Red Men's Lacrosse Script Hoodie  NA,NA,64.99
Ohio State,Jack Allen,Ohio State Men's Lacrosse Red Jersey  NA,NA,89.99
Ohio State,Jack Allen,Men's Lacrosse White Brutus Comfort Colors Tee  NA,NA,44.99
Ohio State,Jack Allen,Red Men's Lacrosse Script Crew  NA,NA,54.99
Ohio State,Jack Allen,Red Men's Lacrosse Script Tee  NA,NA,39.99
Ohio State,Jack Allen,Red Men's Lacrosse Team Tee  NA,NA,39.99
Ohio State,Jack Allen,Sport Grey Men's Lacrosse The Crew  NA,NA,54.99
Ohio State,Jack Allen,Sport Grey Men's Lacrosse The Tee  NA,NA,39.99
Ohio State,Jack Allen,Men's Lacrosse White Brutus Hoodie  NA,NA,64.99
Ohio State,Jack Allen,Red Men's Lacrosse Team Crew  NA,NA,54.99
Ohio State,Jack Allen,Red Men's Lacrosse Team Hoodie  NA,NA,64.99
Ohio State,Jack Allen,Sport Grey Men's Lacrosse The Hoodie  NA,NA,64.99
Ohio State,NA,Swimming & Diving White Brutus Hoodie,Hoodie,64.99
Ohio State,NA,Swimming & Diving White Brutus Comfort Colors Tee,Tee,44.99
Ohio State,NA,Sport Grey Swimming & Diving The Tee,Tee,39.99
Ohio State,NA,Sport Grey Swimming & Diving The Hoodie,Hoodie,64.99
Ohio State,NA,Sport Grey Swimming & Diving The Crew,Crew,54.99
Ohio State,NA,Red Swimming & Diving Team Tee,Tee,39.99
Ohio State,NA,Red Swimming & Diving Team Hoodie,Hoodie,64.99
Ohio State,NA,Red Swimming & Diving Team Crew,Crew,54.99
Ohio State,NA,Red Swimming & Diving Script Tee,Tee,39.99
Ohio State,NA,Red Swimming & Diving Script Hoodie,Hoodie,64.99
Ohio State,NA,Red Swimming & Diving Script Crew,Crew,54.99
Ohio State,NA,Sport Grey Women's Lacrosse The Crew,Crew,54.99
Ohio State,Brynn Ammerman  ,Ohio State Women's Lacrosse Red Jersey,Jersey,89.99
Ohio State,NA,Women's Lacrosse White Brutus Hoodie,Hoodie,64.99
Ohio State,NA,Women's Lacrosse White Brutus Comfort Colors Tee,Tee,44.99
Ohio State,NA,Sport Grey Women's Lacrosse The Tee,Tee,39.99
Ohio State,NA,Sport Grey Women's Lacrosse The Hoodie,Hoodie,64.99
Ohio State,NA,Red Women's Lacrosse Team Tee,Tee,39.99
Ohio State,NA,Red Women's Lacrosse Team Hoodie,Hoodie,64.99
Ohio State,NA,Red Women's Lacrosse Team Crew,Crew,54.99
Ohio State,NA,Red Women's Lacrosse Script Tee,Tee,39.99
Ohio State,NA,Red Women's Lacrosse Script Hoodie,Hoodie,64.99
Ohio State,NA,Red Women's Lacrosse Script Crew,Crew,54.99
Ohio State,NA,EXCLUSIVE DROP: The Ohio State Women's Ice Hockey Team Hoodie,Hoodie,54.99
Ohio State,NA,EXCLUSIVE DROP: The Ohio State Women's Ice Hockey Team Crew,Crew,54.99
Ohio State,NA,EXCLUSIVE DROP: The Ohio State Women's Ice Hockey Team Tee,Tee,39.99
Ohio State,NA,EXCLUSIVE RELEASE: The Ohio State Women's Ice Hockey Team Hoodie,Hoodie,64.99
Ohio State,NA,EXCLUSIVE RELEASE: The Ohio State Women's Ice Hockey Team Crew,Crew,54.99
Ohio State,NA,EXCLUSIVE RELEASE: The Ohio State Women's Ice Hockey Team Tee,Tee,39.99
Ohio State,Jocelyn Amos  ,Ohio State Women's Ice Hockey Red Jersey,Jersey,119.99
Ohio State,Jocelyn Amos,Women's Ice Hockey White Brutus Hoodie,Hoodie,64.99
Ohio State,Jocelyn Amos,Women's Ice Hockey White Brutus Comfort Colors Tee,Tee,44.99
Ohio State,Jocelyn Amos,Sport Grey Women's Ice Hockey The Tee,Tee,39.99
Ohio State,Jocelyn Amos,Sport Grey Women's Ice Hockey The Hoodie,Hoodie,64.99
Ohio State,Jocelyn Amos,Sport Grey Women's Ice Hockey The Crew,Crew,54.99
Ohio State,Jocelyn Amos,Red Women's Ice Hockey Team Tee,Tee,39.99
Ohio State,Jocelyn Amos,Red Women's Ice Hockey Team Hoodie,Hoodie,64.99
Ohio State,Jocelyn Amos,Red Women's Ice Hockey Team Crew,Crew,54.99
Ohio State,Jocelyn Amos,Red Women's Ice Hockey Script Tee,Tee,39.99
Ohio State,Jocelyn Amos,Red Women's Ice Hockey Script Hoodie,Hoodie,64.99
Ohio State,Jocelyn Amos,Red Women's Ice Hockey Script Crew,Crew,54.99
Ohio State,NA,EXCLUSIVE RELEASE: The Ohio State Dance Team 2024 National Champions Crewneck,Crewneck,54.99
Ohio State,NA,EXCLUSIVE RELEASE: The Ohio State Dance Team 2024 National Champions T-Shirt Shirt,Shirt,39.99
Ohio State,NA,LIMITED RELEASE: The Ohio State Dance Team Hoodie in White,White,64.99
Ohio State,Nina Andrianos,"EXCLUSIVE DROP: Ohio State Dance Team ""Built For More"" Crewneck",Crewneck,69.99
Ohio State,Nina Andrianos,"EXCLUSIVE DROP: Ohio State Dance Team ""Built For More"" T-Shirt Shirt",Shirt,39.99
Ohio State,NA,LIMITED RELEASE: The Ohio State Dance Team Crewneck in White,White,54.99
Ohio State,NA,LIMITED RELEASE: The Ohio State Dance Team Comfort Colors T-Shirt in White,White,44.99
Ohio State,NA,LIMITED RELEASE: The Ohio State Dance Team Crewneck in Black,Black,54.99
Ohio State,NA,LIMITED RELEASE: The Ohio State Dance Team Comfort Colors T-Shirt in Black,Black,44.99
Ohio State,Nina Andrianos,Dance Team White Brutus Hoodie,Hoodie,64.99
Ohio State,Nina Andrianos,Dance Team White Brutus Comfort Colors Tee,Tee,44.99
Ohio State,Nina Andrianos,Sport Grey Dance Team The Tee,Tee,39.99
Ohio State,Nina Andrianos,Sport Grey Dance Team The Hoodie,Hoodie,64.99
Ohio State,Nina Andrianos,Sport Grey Dance Team The Crew,Crew,54.99
Ohio State,Nina Andrianos,Red Dance Team Tee,Tee,39.99
Ohio State,Nina Andrianos,Red Dance Team Hoodie,Hoodie,64.99
Ohio State,Nina Andrianos,Red Dance Team Crew,Crew,54.99
Ohio State,Nina Andrianos,Red Dance Team Script Tee,Tee,39.99
Ohio State,Zachary Antoniou,Ohio State Men's Lacrosse Red Jersey  NA,NA,89.99
