name,url
Arkansas,https://arkansas.nil.store/
Auburn,https://auburn.nil.store
Baylor,https://nil.store/pages/baylor
Belmont,https://nil.store/pages/belmont
Boise State,https://nil.store/pages/boise-state
BYU,https://nil.store/pages/byu
California Baptist,https://nil.store/pages/cal-baptist
Clemson,https://nil.store/pages/clemson
Colorado,https://the-colorado-nil-store.myshopify.com
Creighton,https://nil.store/pages/creighton
Dayton,https://nil.store/pages/dayton
DePaul,https://depaul.nil.store
Duke,https://nil.store/pages/duke
Duquesne,https://nil.store/pages/duquesne
East Carolina,https://nil.store/pages/ecu
ETSU,https://nil.store/pages/etsu
Florida,https://nil.store/pages/florida
Florida Atlantic,https://nil.store/pages/store-coming-soon
FGCU,https://fgcu.nil.store
Florida State,https://nil.shop
Georgetown,https://nil.store/pages/georgetown
Georgia Southern,https://nil.store/pages/georgia-southern
Gonzaga,https://nil.store/pages/gonzaga
Houston,https://nil.store/pages/houston
Indiana,https://indiana.nil.store
Iowa,https://the-iowa-nil-store.myshopify.com
Iowa State,https://iowastate.nil.store
Louisiana,https://nil.store/pages/louisiana
Louisville,https://the-louisville-nil-store.myshopify.com
Loyola,https://loyola-nil-store.myshopify.com
LSU,https://lsu.nil.store
Marquette,https://3a6702.myshopify.com
Maryland,https://md.nil.store
Michigan State,https://msu.nil.store
Mississippi State,https://the-mississippi-state-nil-store.myshopify.com
Mizzou,https://mizzou.nil.store
Nebraska,https://nebraska.nil.store
Nevada,https://nil.store/pages/nevada
North Carolina,https://the-unc-nil-store.myshopify.com
North Dakota State,https://the-ndsu-nil-store.myshopify.com
Northwestern,https://northwestern.nil.store
Ohio State,https://the-ohio-state-nil-store.myshopify.com
Ole Miss,https://olemiss.nil.store
Penn State,https://pennstate.nil.store
Pitt,https://nil.store/pages/pitt
Purdue,https://purdue.nil.store
Rutgers,https://rutgers.nil.store
Saint Louis,https://nil.store/pages/saint-louis
SDSU,https://sdsu.nil.store
Stephen F. Austin,https://nil.store/sfa
Syracuse,https://syracuse.nil.store
Temple,https://nil.store/pages/temple
Toledo,https://toledo.nil.store
UC Davis,https://nil.store/pages/uc-davis
UCLA,https://ucla.nil.store
UConn,https://uconn.nil.store
Utah,https://the-utah-nil-store.myshopify.com
Utah State,https://nil.store/pages/store-coming-soon
Virginia,https://nil.store/pages/virginia
Virginia Tech,https://maroonandorange.nil.store
Wake Forest,https://nil.store/pages/wake-forest
Washington,https://wash.nil.store/
Western Kentucky,https://the-wku-nil-store.myshopify.com
West Virginia,https://wvu.nil.store
Wichita State,https://nil.store/pages/wichita-state
Winthrop,https://nil.store/pages/winthrop
Xavier,https://xavier.nil.store
